timestamp,accelX,accelY,accelZ,gyroX,gyroY,gyroZ,altitude,activity,delta_time,accelX_rate_of_change,accelY_rate_of_change,accelZ_rate_of_change,gyroX_rate_of_change,gyroY_rate_of_change,gyroZ_rate_of_change,altitude_rate_of_change
266300,-0.13,-0.12,-0.13,19.67,19.37,19.02,210.89,Stairs,2509.0,-3.98565165404544e-06,0.0,-3.98565165404544e-06,0.0137225986448784,0.0135512156237544,0.0133718612993224,3.98565165404521e-05
268809,0.0,0.0,0.01,15.44,15.27,15.17,211.15,Stairs,2509.0,5.1813471502590674e-05,4.782781984854524e-05,5.579912315663611e-05,-0.0016859306496612,-0.0016341171781586,-0.0015344758868074,0.0001036269430051
271318,-0.11,-0.11,-0.11,-51.95,-51.61,-51.31,211.46,Stairs,2509.0,-4.38421681944998e-05,-4.38421681944998e-05,-4.782781984854524e-05,-0.0268593064966121,-0.0266560382622558,-0.026496612196094,0.0001235552012754
273827,-0.2,-0.2,-0.2,48.25,48.63,49.08,211.83,Stairs,2509.0,-3.587086488640893e-05,-3.587086488640893e-05,-3.587086488640893e-05,0.0399362295735352,0.0399521721801514,0.0400119569549621,0.0001474691111996
276336,-0.07,-0.06,-0.06,-65.86,-65.75,-65.6,212.26,Stairs,2509.0,5.1813471502590674e-05,5.579912315663611e-05,5.579912315663611e-05,-0.0454802710243124,-0.0455878836189717,-0.045707453168593,0.0001713830211239
278845,-0.07,-0.07,-0.07,32.53,32.13,31.72,212.77,Stairs,2509.0,0.0,-3.98565165404544e-06,-3.98565165404544e-06,0.039214826624153,0.0390115583897967,0.0387883618971701,0.0002032682343563
281354,0.02,0.02,0.02,-9.69,-9.52,-9.37,213.36,Stairs,2509.0,3.587086488640893e-05,3.587086488640893e-05,3.587086488640893e-05,-0.0168274212833798,-0.0166002391390992,-0.0163770426464726,0.0002351534475886
283863,-0.12,-0.12,-0.12,-42.33,-42.38,-42.41,213.71,Stairs,2509.0,-5.5799123156636106e-05,-5.5799123156636106e-05,-5.5799123156636106e-05,-0.0130091669988043,-0.0130968513351933,-0.0131685930649661,0.0001394978078915
286372,-0.17,-0.17,-0.17,-40.92,-41.18,-41.64,213.75,Stairs,2509.0,-1.992825827022719e-05,-1.992825827022719e-05,-1.992825827022719e-05,0.0005619768832204,0.0004782781984854,0.0003068951773614,1.5942606616178575e-05
288880,-0.28,-0.28,-0.28,-55.51,-55.87,-56.15,213.54,Stairs,2508.0,-4.385964912280702e-05,-4.385964912280702e-05,-4.385964912280702e-05,-0.0058173843700159,-0.0058572567783094,-0.0057854864433811,-8.373205741627111e-05
291389,-0.08,-0.08,-0.08,-7.37,-7.61,-7.73,213.19,Stairs,2509.0,7.971303308090873e-05,7.971303308090873e-05,7.971303308090873e-05,0.0191869270625747,0.0192347548824232,0.019298525308888,-0.0001394978078915
